date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:43:21	2303/2303	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2029%20Jan%202025%2020:07:32%20GMT	https://www.ikimtechco.com/lib/easing/easing.min.js	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/lib/easing/easing.min.js	(from https://www.ikimtechco.com/)
05:43:22	9028/9028	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2029%20Jan%202025%2020:07:46%20GMT	https://www.ikimtechco.com/lib/waypoints/waypoints.min.js	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/lib/waypoints/waypoints.min.js	(from https://www.ikimtechco.com/)
05:43:23	2406/2406	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2029%20Jan%202025%2020:07:30%20GMT	https://www.ikimtechco.com/lib/counterup/counterup.min.js	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/lib/counterup/counterup.min.js	(from https://www.ikimtechco.com/)
05:43:24	42766/42766	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2029%20Jan%202025%2020:07:44%20GMT	https://www.ikimtechco.com/lib/owlcarousel/owl.carousel.min.js	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/lib/owlcarousel/owl.carousel.min.js	(from https://www.ikimtechco.com/)
05:43:25	35503/35503	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2029%20Jan%202025%2020:07:36%20GMT	https://www.ikimtechco.com/lib/isotope/isotope.pkgd.min.js	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/lib/isotope/isotope.pkgd.min.js	(from https://www.ikimtechco.com/)
05:43:26	9418/9418	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2029%20Jan%202025%2020:07:40%20GMT	https://www.ikimtechco.com/lib/lightbox/js/lightbox.min.js	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/lib/lightbox/js/lightbox.min.js	(from https://www.ikimtechco.com/)
05:43:27	1802/1802	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2029%20Jan%202025%2020:08:08%20GMT	https://www.ikimtechco.com/script.js	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/script.js	(from https://www.ikimtechco.com/)
05:43:28	2443/2443	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2029%20Jan%202025%2020:07:12%20GMT	https://www.ikimtechco.com/js/main.js	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/js/main.js	(from https://www.ikimtechco.com/)
05:43:29	4976/4976	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jan%202025%2020:07:44%20GMT	https://www.ikimtechco.com/lib/owlcarousel/assets/owl.video.play.png	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/lib/owlcarousel/assets/owl.video.play.png	(from https://www.ikimtechco.com/lib/owlcarousel/assets/owl.carousel.min.css)
05:43:30	8476/8476	---M--	200	added ('OK')	image/gif	date:Wed,%2029%20Jan%202025%2020:07:38%20GMT	https://www.ikimtechco.com/lib/lightbox/images/loading.gif	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/lib/lightbox/images/loading.gif	(from https://www.ikimtechco.com/lib/lightbox/css/lightbox.min.css)
05:43:31	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2002:43:31%20GMT	https://www.ikimtechco.com/img/carousel-1.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/carousel-1.jpg	(from https://www.ikimtechco.com/css/style.css)
05:43:32	7853/7853	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202025%2020:06:58%20GMT	https://www.ikimtechco.com/img/footer.jpg	/home/nebil/my-ikimtechco-site/www.ikimtechco.com/img/footer.jpg	(from https://www.ikimtechco.com/css/style.css)
